page_num|art_num|type|year|author|title|abstract
1|7379784|Conference Paper|2015|Osama Treef Alshaki|Development of spawning and mobility model for heavyweight software agent|Mobile agent technology has been implemented in many distributed computing domains and is becoming more popular. Several research have been conducted to address its challenges including two most important ones which are agent spawning and agent mobility. Solutions to such challenges include distributing tasks to other agents or migrating to remote hosts. In this paper, we discuss the issues of agent spawning and mobility and propose a new framework for dynamic spawning of agents, an alternative approach to the problem of local agent overloads. Agent spawning subsumes task transfer and agent mobility. Our paradigm entails that agents may spawn, pass tasks to others, merge or die. Spawning results in better software performance in terms of processing time, enhances efficiency of network utilization and reduce communication and computation loads.
1|7397340|Conference Paper|2015|Haniche Fayçal|An Agent Based Encapsulator System: For Integrating and Composing Legacy System Functionalities|Nowadays, Service-Oriented Architectures (SOA) represents the means of Information Technologies (IT) which contribute to the agility of enterprise information systems (IS). Their principle main is to present the applications functionalities as services aligned with the company business. This presentation is promising in the sense that it tends to reduce the costs of integration, to give more importance to the reuse of information system functionalities in different business processes and, of course, to facilitate its adaptation to the unforeseen changes during the life cycle of information system. In this work, we present an approach based on multi-agent systems (MAS) for encapsulating and publishing Legacy system functionalities as web services in the goal to facilitate their integration on a SOA-based Information system. We have on a second part proposed a set of composition templates for composing legacy functionalities.
1|7175732|Conference Paper|2014|Yumang Shao|Design and research of Multi-Agent Control system for central cooling system|Multi-Agent system (MAS) is applied to the intelligent control of the complex system more extensively. This paper carries out the design and research on MAS control system based on the central cooling system of an electric propulsion plant on ship. A Multi-Agent hierarchical control structure which is appropriate for the control of the central cooling system is established. The cooperative method of contract net model is used for the Agents'; cooperation. This paper sets up an experimental table that is based on the composition and arrangement of the cooling system, and achieves the confirmation of the control requirement according to the experiment. This research provides foundation for further research of the MAS control to the complex cooling system.
1|7391702|Conference Paper|2015|Pegah Tabari Saadi|A fuzzy approach on consensus of nonlinear leader-follower multi-agent systems|A linear matrix inequality based approach for consensus of leader follower nonlinear multi-agent systems is discussed in this paper. A nonlinear multi-agent system is assumed, each agent and the leader has a nonlinear dynamic. It is assumed that at least one agent has access to the state information of the leader, Stability of the error dynamic is equal to consensus of the assumed multi-agent system. Then a fuzzy Lyapunov function is chosen, and some high dimension slack matrix are used, to decouple the Lyapunov';s matrix from the systems'; one and add some degree of freedom to the LMIs. Using some techniques, sufficient conditions for consensus of nonlinear multi-agent systems are converted to LMI constrains. An example for consensus of nonlinear multi-agent systems is solved to show the effectiveness of the main results.
1|6640676|Conference Paper|2013|Xiaohong Ran|Leader-following consensus of multi-agent systems using output error feedback|In this paper, we deal with the leader-follower consensus problem of multi-agent systems in which the dynamics of each agent and the leader is a linear system that can be of any order. The interaction graph among the agents is directed. A decentralized control law based on the relative output errors between the neighboring agents is proposed, and we give the necessary and sufficient condition for the existence of the Leader-following Consensus protocol. The numerical simulation results prove the theoretical results and indicate that the proposed consensus protocol is valid.
1|7162846|Conference Paper|2015|Yuge Zhao|Distributed consensus protocol for leader-following multi-agent systems with a Luenberger observer|This paper considers the consensus problem of the leader - following multi-agent systems. The dynamics of each agent are given in general form of linear system. The following agents can not obtain the state information of its neighbor agents directly, but the output information of its neighbor agents can be obtained. A function observer is proposed for each following agent to estimate its state feedback control input, and based on which a distributed consensus protocol is proposed to solve the leader-following consensus problem. Under the directed fixed topology, a consensus condition is established, and a multi-step algorithm is provided to construct the gain matrices and couple strength. Finally, a simulation example is given to illustrate the effectiveness of the obtained result.
1|5228069|Conference Paper|2009|S. Ajitha|Predicting Performance of Multi-Agent systems during feasibility study|Agent oriented software engineering (AOSE) is a software paradigm that has grasped the attention of researchers/developers for the last few years. As a result, many different methods have been introduced to enable researchers/developers to develop multi agent systems. However Performance, a non- functional attribute have not been given that much importance for producing quality software. Performance issues must be considered throughout software project development. Predicting performance early in the life cycle during feasibility study is not considered for predicting performance. In this paper, we consider the data collected (technical and environmental factors) during feasibility study of Multi-Agent software development to predict performance. We derive an algorithm to predict the performance metrics and simulate the results using a case study on scheduling the use of runways on an airport.
1|7161682|Conference Paper|2015|Yuezu Lv|Adaptive output-feedback consensus protocol design for linear multi-agent systems with directed graphs|This paper addresses the output feedback consensus protocol design problem for general linear multi-agent systems with directed communication graphs. By proposing a new method called adding an extra observer, two novel adaptive output feedback consensus protocols are proposed to achieve consensus for any strongly connected directed graph. The proposed adaptive output feedback protocols are fully distributed, relying on only the agent dynamics and the local output information of neighboring agents. A sufficient condition for the existence of the proposed adaptive protocols is that each agent is stabilizable and detectable.
1|7005719|Conference Paper|2014|Jason Christian|Implementation of multi-agent system using fuzzy logic towards shopping center simulation|A computer simulation tool has a purpose to simulate real-world phenomenon using mathematical and computational calculations to run the simulations and provide a detailed report as the result of the simulation. By using a computer simulation tool, users can retrieve information relevant to the simulation area in a relatively short time. In this paper, the author presents a prototype of multi-agent simulation tool for shopping centers. The shopping centers and all its components are presented in a simulated 3D environment. The simulation tool is built by using Unity3D engine for building 3D environment and running the simulation. The shopping behavior of the agents in the simulation is performed with a fuzzy logic calculation with the basis of the agent';s knowledge. This simulation tool is tested by experts for its ability to simulate and gives accurate information of the simulation. The result of the simulation shows that the implementation of the multi-agent system in shopping centers can show the general idea of people';s activities in shopping centers.
1|4740608|Conference Paper|2008|Maya Rupert|An Organisational Multi-agent Systems Approach for Designing Collaborative Tagging Systems|Collaborative tagging systems are an example of socially-aware, self-organising, complex systems. The multi-agent systems paradigm coordinated by self-organisation mechanisms has been used as an effective way for the design and modeling of such systems. Existing tagging systems do not take full advantage of their complex systems characteristics, especially in adapting to their environment and allowing emergence. In this paper, we propose a model for designing a tagging system, using a multi-agent system approach, governed by the co-evolution of the social and spatial organisations of the agents. We show how the proposed system has new functionalities that could enhance current collaborative tagging systems.
1|7244594|Conference Paper|2015|Kexin Liu|Robust consensus of a class of linear multi-agent systems via sampled-data control|Multi-agent systems (MASs) are universal in nature, including biological, physical, and engineering systems. This paper investigates the robust consensus of a class of linear MASs with transmission noise. In detail, we develop a new framework to design an observer-based consensus protocol utilizing sampled data. That is, some sufficient conditions are derived to guarantee the existence of sampled period for the robust consensus of MASs with connected and undirected structure. Finally, numerical simulations are also given to validate our proposed methods.
1|7379781|Conference Paper|2015|Muhsen Hammoud|A model of norms decay by agents' actions: Norms disappearance and norms collapse|In open normative multi-agent systems, norms are created dynamically. Some of these norms emerge and persist due to their benefits and strength. While other norms emerge for a short period of time, then vanish due to several reasons that lead to loss in their benefit or strength. Each norm of the created ones might have positive, negative, or neutral consequences on the system. Norms decay by society';s agents actions refers to the case in which a norm is not practiced or adopted by any of the society';s agents, and eventually deleted and forgotten. In this paper, we analyze the concept of norms decay by society';s agents. The results of analysis are used to propose two models which are: norms disappearance and norms collapse. Each model is explained and illustrated in a case study.
1|8217006|Conference Paper|2017|[::Multi::]-[::Agent::] [::Systems::]|Finite-time tracking consensus control for a class of nonlinear|In this paper, we address the finite-time tracking consensus control problem for nonlinear multi-agent systems under no-cycle communication graph. Unlike most existing works of finite-time consensus, we focus on nonlinear multi-agent systems with lower triangular subsystems. Based on the local cooperative information among neighboring agents, we propose a tracking consensus protocol ensuring that all agents achieve consensus in a finite time. Finally, we give an example to illustrate the effectiveness of the proposed protocols.
1|4116094|Conference Paper|2006|Wu Qiong|Intelligent Decision Support System for Power Grid Dispatching Based on Multi-Agent System|This paper introduces an intelligent decision support system based on multi-agent system, the intention of which is to upgrade intelligent level of power grid dispatching. The system utilizes the data from SCADA and fault information system. Based on the integrated data source, a model of agent living environment is presented. More researches are focused on architecture of multi-agent system and cooperative strategy of agents. Finally, a MAS-based decision support system (MASDSS) is established. The application shows MASDSS more advantageous than individual agent in the sides of integrated solving problems, cooperative control and information share.
1|9274969|Conference Paper|2020|Yinyan Zhang|Near-Optimal Consensus of Multi-Dimensional Double-Integrator Multi-Agent Systems|In this paper, a distributed near-optimal method is presented for the consensus of multi-agent systems with multiple multi-dimensional double integrators. The method is developed based on the performance index regarding the consensus behavior with respect to the agent state differences and the control efforts of the agents. By using the Taylor expansion method, an analytical distributed near-optimal controller is presented for solving the optimal consensus problem. A simulative example is presented to demonstrate the performance of the method.
2|9153210|Standard|2020|null|IEEE Approved Draft Recommended Practices on Industrial Agents: Integration of Software Agents and Low Level Automation Functions|The recommended practices to solve the interface problem when applying industrial agents, namely, integrating intelligent software agents with low-level automation devices in the context of cyber-physical systems, are described in this recommended practice. In particular, a method to select the best interfacing practice for a given application scenario, defined by the user, from a set of available interfacing templates and technologies, aiming to improve reuse, consistency, and transparency in the integration of industrial agents and low-level control functions, is defined.
2|9369162|Journal Article|2021|Li Bingqiang|Open-loop and closed-loop Dα-type iterative learning control for fractional-order linear multi-agent systems with state-delays|This study focuses on implementing consensus tracking using both open-loop and closed-loop Dα-type iterative learning control (ILC) schemes, for fractional-order multi-agent systems (FOMASs) with state-delays. The desired trajectory is constructed by introducing a virtual leader, and the fixed communication topology is considered and only a subset of followers can access the desired trajectory. For each control scheme, one controller is designed for one agent individually. According to the tracking error between the agent and the virtual leader, and the tracking errors between the agent and neighboring agents during the last iteration (for open-loop scheme) or the current running (for closed-loop scheme), each controller continuously corrects the last control law by a combination of communication weights in the topology to obtain the ideal control law. Through the rigorous analysis, sufficient conditions for both control schemes are established to ensure that all agents can achieve the asymptotically consistent output along the iteration axis within a finite-time interval. Sufficient numerical simulation results demonstrate the effectiveness of the control schemes, and provide some meaningful comparison results.
2|6661796|Conference Paper|2013|Mohamed Amin Laouadi|Towards an organizational model for Real Time Multi-Agent System specification|Over the last few years, several organizational models have been proposed in the literature for ensuring social order in Multi-Agent System (MAS) applications. Those models have considerably forwarded the domain by different paradigms to improving MAS development process. However, they have totally omitted real-time constraints, important aspects for Real-Time Multi-Agent Systems (RTMAS) construction. In this paper, we present a survey on MAS organizational models and an extension of AUML diagrams to describing Real-Time Multi-Agent Systems (RTMAS) organizational requirements. The proposed approach considers jointly functional, static and dynamic aspects of RTMAS. The aim is to combine the advantages of AUML and the organizational concepts extracted from the study of five agent organization methodologies in a single technique, since the analysis phase.
2|5228068|Conference Paper|2009|T. Amudha|A Multi-agent based framework for Dynamic Service Discovery and access using matchmaking approach|Service-oriented architecture (SOA) has gained recognition due to its reusable nature of applications and interoperability between heterogeneous technologies. The basis of SOA is the service whereas service is a self-contained software module that performs a predetermined task. The most important tasks in building a service-oriented application are the creation of services with coarse-grained functionality and the creation of interfaces with the right level of abstraction that enhances service discovery and access. Dynamic Service Discovery is one of the key issues of SOA that requires new avenues of research. Agents are reusable s/w components that provide controlled/shared access to services and resources and forms the building blocks with collaborators called as collaborative agents for applications organized across various networks. This paper proposes a novel approach for a multi-agent based dynamic service discovery using matchmaking technique.
2|7991718|Conference Paper|2016|Vladislav V. Panteleev|Using of multi-agent system to model a process of maintenance service and repair of equipment of a service company|This report examines the issues of improving the efficiency of use of available funds for the maintenance and repair of equipment, reducing the burden on the staff. We have investigated and analyzed the process of repair and maintenance of a service company. We have defined basic models and its set of functions. This work is based on agent-based approach to simulate MRO process. Logical and conceptual models of multi-agent systems of MRO process have been developed.
2|8623349|Conference Paper|2018|Zheng Wang|Research on Multi-Agent Fault Diagnosis System for Ship Integrated Power System|Ship integrated power system (SIPS) uses electric power propulsion, power network and electric network are integrated into complicated one. Fault diagnosis system of SIPS can help the crew to handle faults, shorten processing time and prevent faults from expanding. Multi-agent technique is adopted for the fault diagnosis system. SIPS is divided into several feeder units. Each is abstracted as a regional feeder agent (FED-Agent). Multi-agent fault diagnosis system is established by using FED-Agent and other functional agents. Considering of the characteristics of agent, the multi-agent system process both interactivity and autonomy. It can effectively solve the fault diagnosis problem of SIPS.
2|6567818|Conference Paper|2013|Seyedehmehrnaz Mireslami|Automated verification of AUML based multi-agent system design|Industrial demands for agent-based software engineering have significantly increased in the past years. To detect and address the unexpected failures in early design stage of multi-agent systems, several methodologies have been proposed. Agent UML (AUML) is a methodology for agent-based software development that is an extension of the widely accepted UML. AUML handles the interactions among agents by extending UML in dealing with agent-based challenges. In this paper, Agent UML is employed for designing multi-agent systems. A set of conversion rules is proposed to convert Agent UML methodology into UML sequence diagrams that can be used for behavior model synthesis. Then, an automated tool is developed for multiagent system verification that can replace the existing adhoc methods. To validate the proposed methods, a case study of a Real-Time Fleet Management System is used.
2|9336858|Conference Paper|2020|YuZe Feng|Rapid Coverage Control with Multi-agent Systems Based on K-Means Algorithm|This paper presents a strategy for covering particles in a specific region with multi-agent systems. Previous strategies that study on partitioning regions, have struggled to cover complex regions. The proposed approach in this paper, based on k-Means algorithm, can partition particles in some complex regions and calculate the locations of agents which have limited range of detection. And then the agents can cooperate to monitor the whole particles. Simulation results show that the particles in different regions can be covered well by multi-agent systems based on k-Means algorithm.
2|6676519|Conference Paper|2013|Jeremy Pitt|Formal Models of Social Processes: The Pursuit of Computational Justice in Self-Organising Multi-Agent Systems|This SASO tutorial is concerned with the pursuit of computational justice in and for self-organising systems. We contend that many aspects of self-organisation in open systems and socio-technical systems -- such as representation in collective choice arrangements, fairness in resource provision and appropriation, rewards and sanctions for compliance and non-compliance with regulations, quality assessment of self-organised structures and processes --are all underpinned by some notion of justice. We propose computational justice as an interdisciplinary research programme at an intersection between computer science and social sciences, enabling and promoting an exchange of ideas and results in both directions. The aim of this tutorial is to provide students and researchers of self-organising systems with an introduction to the idea of computational justice, its motivation, concepts, tools, methods and applications -- and many open questions.
2|7231648|Conference Paper|2014|Janlong Sun|Robust consensus of discrete-time multi-agent systems with nonlinear disturbances|We study a robust consensus problem of discrete-time multi-agent systems with nonlinear disturbances. By a suitable linear transform, the systems are changed to other systems. Furthermore, we derive some conditions in form of linear matrix inequalities (LMIs) guaranteeing the robust consensus by using Lyapunov function methods. Finally, a simulation result is worked out to demonstrate the effectiveness of the theoretical results.
2|8095141|Conference Paper|2017|Oksana Dunets|Multi-agent system of IT project planning|The authors propose the agent-oriented approach for solving problems of IT project planning. The tasks hierarchy of a management planning system in IT projects is formed. Both the use case and context diagram of processes in project management planning are built. The simulation model of the multi-agent system on AnyLogic base is studied.
2|7286481|Conference Paper|2015|Ruchi Gupta|Cooperative energy management system Multi Agent based operation of a|In this paper, a Multi-Agent System (MAS) structure of a cooperative energy management system is conceptualized. The idea is based on the assumption that most of the establishments in the area have an alternative (renewable) energy generation source like solar power, waste to energy etc. and the energy demand of various establishments is independent of each other and reaches peak at different times. The proposed multi-agent system consist of several Load Distribution Agents (LDA) that try to fulfill the demand by communicating with each unit of their. The paper demonstrates the use of a multi-agent system to control the smart grid in a simulated environment. Simulation results show that the proposed multi-agent system can perform the operation of the smart grid efficiently.
2|6626022|Conference Paper|2013|Honghui Zhang|Combining “top-down” and “bottom-up” decision making behaviors to simulate urban sprawl using multi-agent system|In view of multi-agent system';s ability to simulate complex spatial system, from the view of combining “top-down” and “bottom-up” decision-making behaviors, a spatiotemporal dynamical urban sprawl simulation model using multi-agent system was developed. In the model, “top-down” macro land use planning behaviors implemented by macro agents and “bottom-up” micro land use spatial appeal behaviors autonomously originated by micro agents interacted by two-dimensional spatial grid, and jointly promoted urbanization process of study area through joint decision-making. The simulation results show that combining “top-down” and “bottom-up” decision-making behaviors to simulate spatiotemporal dynamical urban sprawl model using multi-agent system can give full play to the potential of multi-agent system to understand the driving mechanism of urbanization and provide decision-making support for urban management.
2|6640680|Conference Paper|2013|Weixun Li|A novel formation control for multi-agent systems by nonlinear output regulation|In this paper, the formation control problem of multi-agent systems with affine nonlinear dynamic is considered. In other words, the agents have to acquire a pre-defined geometric shape and track a reference trajectory while maintaining the formation. The reference or disturbance signals are generated by an exo-system, which can be considered as an active leader or the environmental disturbance in the considered multi-agent systems. Based on the internal model principle, the formation control problem can be solved by solving the regulate equations. Finally, the illustrative example is provided to demonstrate the effectiveness of the main results.
2|9164218|Conference Paper|2020|Tai-Fang Li|A distributed optimization algorithm for multi-agent systems with limited communication|In distributed optimization of multi-agent systems, agents usually cooperate to minimize a global function which is a sum of local objective functions. In this paper, distributed optimization of multi-agent systems is studied in which the global function is in a general form. A communication rule and a distributed algorithm are designed to solve the cooperative optimization problem of multi-agent systems with limited communication which is embodied by an undirected graph. The algorithm is designed according to the proposed communication rule which can share global information indirectly by transmitting information among the agents even though communications among the agents are limited, and is carried out through the true values of agents'; states instead of the estimated ones. A simulation example of distributed optimization of a four-agent system with limited communication is presented to show the effectiveness of the proposed algorithm.
2|9440605|Conference Paper|2021|Jing Tian|Bearing-only Formation Control of First-Order Discrete-Time Multi-Agent Systems|In this paper, we address the formation control problem of first-order discrete-time multi-agent systems, where the control law for each agent only depends on the relative bearings to its neighboring agents. Different from the continuous-time multi-agent systems, the sampling time step in the discrete-time counterpart is required to be upper bounded by some properly designed constant, such that the bearing-only formation can be achieved. Finally, the simulations are provided to verify the correctness of theoretical results.
2|5614074|Conference Paper|2010|T. Steel|Virtual Agent Perception in Multi-agent Based Simulation Systems|In this paper we discuss a modular multi-sense perception system for DIVAs virtual agents. It is based on the idea that local environmental influences are constantly sensed by one or more of an agent';s senses (sight, hearing, smell, etc.). The perception system is extensible and modifiable and allows users to dynamically modify how an agent perceives its environment at execution time. This paper focuses on the modularity of the agent perception architecture rather than the perception algorithms themselves.
2|8410510|Journal Article|2018|Heejung Byun|A Method of Indirect Configuration Propagation With Estimation of System State in Networked Multi-Agent Dynamic Systems|Networked multi-agent dynamic system (NMDS) exhibits emergent swarming behavior by using local control laws based on spatial information from the nearby environment and adjacent agents. One of the challenges in NMDS is the lack of appropriate methods for operators to interact with a large group of agents. Studies on human-agent interaction have mainly focused on the direct influence on the behavior of the multi-agents, but it is not feasible for a large-scale system in an error-prone environment. In this letter, a robust method for indirect configuration propagation by a human operator is proposed to influence the swarming behavior of NMDS in a decentralized manner. In addition, an estimation method is proposed for the operator to observe the system state, which helps the operator provide an optimal input to the NMDS at the appropriate time. Finally, we demonstrate the superiority of the proposed method through theoretical analysis and simulation results.
2|9316410|Journal Article|2020|Belkacem Kada|Distributed cooperative control of autonomous multi-agent UAV systems using smooth control|This paper addresses the cooperative control problem of multiple unmanned aerial vehicles (multi-UAV) systems. First, a new distributed consensus algorithm for second-order nonlinear multi-agent systems (MAS) is formulated under the leader-following approach. The algorithm provides smooth input signals to the agents'; control channels, which avoids the chattering effect generated by the conventional sliding mode-based control protocols. Second, a new formation control scheme is developed by integrating smooth distributed consensus control protocols into the geometric pattern model to achieve three-dimensional formation tracking. The Lyapunov theory is used to prove the stability and convergence of both distributed consensus and formation controllers. The effectiveness of the proposed algorithms is demonstrated through simulation results.
2|7339130|Conference Paper|2015|Chao Guo|Research on model description method of multi-agent system|When Agent-based modeling and simulation is applied to researches on complex systems in different areas, the generality and normalization are usually insufficient, because there are differences between different target systems. So an abstracted method of describing multi-Agent systems is necessary. A method of model description of multi-Agent systems is put forward. It describes a multi-Agent system in respects of environment, Agents and interactions, and models an Agent by attributes, behaviors and rules. According to the method, a simulation framework generation tool is developed, and a military confronting system is taken as an example to verify the method.
2|8396070|Conference Paper|2018|Ababii Victor|Multi-agent cognitive system for optimal solution search|Solving optimization problems is a challenging issue in almost all engineering applications. In this paper we present the design of a multi-agent system with cognitive properties meant to find optimal solution according to the game theory. The multi-agent system consists of two subsystems that compete for maximum profit for their teams. Subsystems have no communication capabilities with each other. The status of an agent can only be identified based on its actions on the environment. In order to find an optimal solution we use a Nash Equilibrium concept of a non-cooperative game. The implementation of the system is done on a microcontroller. The evaluation of the Nash Equilibrium convergence rate was performed for 4 cases. The results are presented in the form of convergence charts.
2|5228054|Conference Paper|2009|Gopal Sakarkar|Autonomous software Agent for localization|Today alone with the popularization of Agent technologies, software Agent technology is being applied into many systems, like ERP systems, CRM systems, network management, air-traffic control, telecommunication, and electronic commerce. The paper present a model of autonomous agent architecture and proposed the implementation approach for Autonomous Counseling Agent within educational organization, which is capable of automatic detection of proficient students for particular course and identify challenges that must be met for its implementation using the concept of localization.
2|4281990|Conference Paper|2006|Yan Sun|A Data Fusion Multi-Agent System of Sensor Network based on Data Fields|Sensor network is the key for the network centric warfare. With the goal of providing mobile commanders with the improved situational awareness that result from a shared common operational picture, multi-sensor data fusion technologies of the battlefield become a crucial issue. In this paper, a cooperating multi-agent architecture sentinel-agent model is introduced, which provides a data fusion framework with autonomous asynchronous mobile software agents to migrate among computing nodes in a network and exploit the resources at those nodes. Then a data fusion model based on data field is introduced and analysed in detail.
2|6640661|Conference Paper|2013|Jingchao Lou|Cooperative output regulation of a class of linear multi-agent systems|In this note, we do something in the cooperative output regulation of linear multi-agent systems. The linear multi-agent systems which we consider is a class of leader-follower systems, only part of agents can access the exogenous signal. What we do is design a simple control law with a dynamic compensator to solve the cooperative output regulation problem. We consider two situations in designing control law, one is using full information of state, another is using part information.
3|4258886|Conference Paper|2007|Kai Huang|Decentralized Reconfiguration for Power Systems Using Multi Agent System|In this paper, the authors propose a multiagent system based methodology for power system reconfiguration. In the multiagent system, each agent represents one major component in the power system, such as generators, breakers, and loads. Each agent only communicates with its immediate neighboring agents making the agent system work in a completely decentralized manner. The authors also setup a simulation platform for testing the proposed the reconfiguration methodology. In the simulation platform, the MAS is implemented in Java agent development framework and the power system is implemented in real time digital simulator. The simulation results show that the proposed reconfiguration approach is effective and promising.
3|6675590|Conference Paper|2013|Amirhoshang Hoseinpour Dehkordi|Assessing new conditions for secretary problem using Multi-Agent Systems|The secretary problems are of types of the optimal stopping theory problems and are also distinguished as well known problems in applied probability, statistics and decision theory fields. The importance of these kinds of problems defines many new conditions which have been discussed till now. The significance of these types of problems in social issues causes to define many conditions which are vastly discussed. In this paper, a new condition of this problem is considered. These conditions which have been performed using a real time method are based on Multi-Agent Systems techniques. In this paper, after evaluating this method, the resulted answers are examined using Multi-Agent system techniques.
3|9280790|Conference Paper|2020|Sophiya Rumovskaya|Visualization of Team Cohesion in Hybrid Intelligent Multi-Agent Systems|The paper is presented within the framework of the large project. The main aim of this project is a new class of intelligent information systems, namely cohesive hybrid intelligent multi-agent systems that simulate the process of rallying a team of experts when solving problems at the &#034;round table&#034; by coordinating the goals and ontologies of agents, as well as forming a cohesive interaction protocol by agents to solve the problem. The paper presents the results of the development of the visual way of describing cohesion in hybrid intelligent multiagent systems.
3|4441686|Conference Paper|2007|I.H. Lim|Multi-Agent System-based Protection Coordination of Distribution Feeders|A protection system adopting multi-agent concept for power distribution systems is proposed. A device agent, embedded in a protective device, detects faults or adapts in the network in an autonomous manner and changes its operating parameters to new operation conditions by collaborating with other protection agents. Simulations of the agents and their operations for a sample distribution system with a variety of cases show the feasibility of the agent-based adaptive protection of distribution networks.
